# 历史纪元（特化扩展·名称模糊化）-作为生成参考

艾尔德兰大陆的历史波澜壮阔，从诸神创世到凡人争霸，无数英雄与恶魔在此留下足迹。以下为各纪元的详细编年。

---

## 创世纪元（约前15000年 — 前10000年）
*诸神于虚海奠定基石，主位面在混沌中诞生。*

### 虚海初开
|            | 前2000            | 帝国黄金时代，疆域最大                                       |
|            | 前300             | 帝国灭亡，分裂为多国                                         |
| 信仰纪元   | 1                 | 艾尔文降生，主神教兴起                                       |
|            | 313               | 宽容敕令，主神教合法化                                       |
|            | 452               | 第一次位面交汇，吸血鬼起源                                   |
|            | 800               | 卡尔大帝加冕，泰拉尼亚帝国重建                               |
|            | 1095—1291         | 信仰战争（共八次）                                           |
|            | 1204              | 第四次信仰战争攻陷新罗马，东西教会分裂加深                   |
|            | 1241              | 金色部落击败潘诺尼亚                                         |
|            | 1248              | 第七次信仰战争；当前时代                                     |

---

## 历史传说与英雄人物
- **泰拉努斯**：帝国奠基者，传说他手持雷霆之矛，驯服了巨龙，统一人族。
- **罗南**：圣骑士，牺牲于血谷之战，其圣剑“光辉”据说藏在某座修道院。
- **圣女贞德**（类比）：在未来的历史中可能诞生，但目前尚未出现。
- **凯恩**：吸血鬼始祖，传说他被诅咒成为第一个吸血鬼，沉睡在卡尔帕特山脉深处的血族城堡中，等待苏醒。
- **梅林**：传说中的魔法师，曾辅佐亚瑟王（阿尔比昂传说），但安格里亚群岛的亚瑟王故事流传甚广，真实性存疑。

---

以上为艾尔德兰大陆历史的特化扩展（名称已模糊化处理）。您可基于此编年，进一步填充具体人物、战役细节、魔法发展史、文化变迁等，构建更丰富的世界背景。
